#Designation Code        MJD_UTC/UT1              Delta                 RA                Dec          dDelta/dt             dRA/dt            dDec/dt               VMag                Alt         PhaseAngle          LunarElon           LunarAlt         LunarPhase          SolarElon           SolarAlt                  r               HLon               HLat               TLon               TLat             TOCLon             TOCLat             HOCLon             HOCLat            TOppLon            TOppLat          HEclObj_X          HEclObj_Y          HEclObj_Z      HEclObj_dX/dt      HEclObj_dY/dt      HEclObj_dZ/dt         HEclObsy_X         HEclObsy_Y         HEclObsy_Z            EccAnom           TrueAnom           PosAngle
0                G37   58889.2991992593       1.5368490836     307.9311669070     -14.5874797034       0.0062471076       1.5339365732       0.7068437671      14.0444457227     -68.7236043804      23.2584668881     150.5971686054      60.7258609595       0.9836247037      14.6988076185     -68.8840370672       0.6340000283     283.9486935164      10.1285793640     306.6175476118       4.1609063607     165.8896716452       4.1618587113     143.2208175499      10.1295317146     140.7278759666      -0.0009523506       0.1504458366      -0.6057154534       0.1114938365       0.0277828718       0.0085250581       0.0087888515      -0.7638233863       0.6245618647      -0.0000164000     360.0000000000     360.0000000000      65.2595712650
1                G37   58889.2991992593       2.5991110129      17.4291256280      16.9585512293       0.0247070083       0.4545476936       0.0924404183      17.9605067948     -12.0191419634      22.1968853205     130.7407897957      60.7258609595       0.9836247037      62.1825529401     -68.8840370672       2.3098598901      45.0212771524       9.9553496531      22.5467012088       8.8383554042    -118.1811747578       8.8393077548     -95.7065988141       9.9563020037     140.7278759666      -0.0009523506       1.6081268440       1.6093216641       0.3993301224       0.0038826288       0.0151477310      -0.0001398660      -0.7638233863       0.6245618647      -0.0000164000      21.2172741323     118.0148217076      78.5046425850
2                G37   58889.2991992593       3.8165701020      41.2717545319      21.2438395841       0.0267520587       0.1403526934      -0.0049561040      19.6655188301       8.3550773264      14.7772586352     109.0433036568      60.7258609595       0.9836247037      84.6057294170     -68.8840370672       3.8511944135      60.1470606361       4.9960941235      45.3126751137       5.0417830873     -95.4152008529       5.0427354379     -80.5808153304       4.9970464741     140.7278759666      -0.0009523506       1.9097468647       3.3274731276       0.3353921703       0.0013412727       0.0118204792      -0.0006940818      -0.7638233863       0.6245618647      -0.0000164000      29.5557050658     133.8038786773      92.0223758927
3                G37   58889.2991992593       4.9733421614      52.8910469318      21.8697089120       0.0261184886       0.0446339919      -0.0141691913      20.7405365851      17.8107365697      10.9850843859      98.7304744405      60.7258609595       0.9836247037      95.1729674489     -68.8840370672       5.1567909917      66.9033206985       2.6180475316      55.9067172487       2.7148780673     -84.8211587179       2.7158304179     -73.8245552681       2.6189998822     140.7278759666      -0.0009523506       2.0208141294       4.7384934038       0.2355500964       0.0004888704       0.0101085909      -0.0008215597      -0.7638233863       0.6245618647      -0.0000164000      35.2071828974     140.9514426950     107.6121930328
4                G37   58889.2991992593       6.0466806695      59.8768913939      21.7759113576       0.0252234384       0.0067247645      -0.0126533726      21.5218692178      23.3647981086       8.8037520851      92.5578855816      60.7258609595       0.9836247037     101.4849424433     -68.8840370672       6.3175666252      71.0208141331       1.1438381201      62.2153721765       1.1952436888     -78.5125037901       1.1961960394     -69.7070618334       1.1447904707     140.7278759666      -0.0009523506       2.0542189684       5.9729329296       0.1261138883       0.0000681854       0.0090147845      -0.0008600708      -0.7638233863       0.6245618647      -0.0000164000      39.6347948151     145.3224674833     152.0111317997
5                G37   58889.2991992593       7.0475022318      64.6275276722      21.5067790097       0.0243912933      -0.0110270684      -0.0100003177      22.1317391370      27.0842314366       7.3949058523      88.3567151697      60.7258609595       0.9836247037     105.7772100864     -68.8840370672       7.3771316931      73.9000391017       0.1079919472      66.5051195922       0.1131762652     -74.2227563744       0.1141286158     -66.8278368648       0.1089442978     140.7278759666      -0.0009523506       2.0457782469       7.0877831546       0.0139045206      -0.0001791686       0.0082321562      -0.0008690405      -0.7638233863       0.6245618647      -0.0000164000      43.3417480507     148.3820165890     227.7954874280
6                G37   58889.2991992593       7.9877388440      68.1197927058      21.2010994135       0.0236623648      -0.0202268797      -0.0076573309      22.6298997110      29.7856183268       6.4093238714      85.2614833888      60.7258609595       0.9836247037     108.9379678760     -68.8840370672       8.3602076939      76.0770441148      -0.6756252730      69.6673282584      -0.7070137233     -71.0605477081      -0.7060613726     -64.6508318518      -0.6746729224     140.7278759666      -0.0009523506       2.0114677922       8.1140219327      -0.0985803275      -0.0003399458       0.0076326086      -0.0008659651      -0.7638233863       0.6245618647      -0.0000164000      46.5664140417     150.6956216215     249.2647360215
7                G37   58889.2991992593       8.8769881717      70.8266683504      20.9003445489       0.0230280527      -0.0252849875      -0.0057792559      23.0499116430      31.8578973288       5.6798386125      82.8563844672      60.7258609595       0.9836247037     111.3931348877     -68.8840370672       9.2824609076      77.8083438629      -1.2980030666      72.1272854732      -1.3571967845     -68.6005904934      -1.3562444339     -62.9195321036      -1.2970507160     140.7278759666      -0.0009523506       1.9597898726       9.0707822334      -0.2102708479      -0.0004514317       0.0071519072      -0.0008574643      -0.7638233863       0.6245618647      -0.0000164000      49.4422818989     152.5350700312     257.1253640581
8                G37   58889.2991992593       9.7226834022      73.0063140930      20.6171140174       0.0224727397      -0.0281432368      -0.0042988467      23.4123695060      33.5111249396       5.1170188424      80.9150923241      60.7258609595       0.9836247037     113.3743094189     -68.8840370672      10.1545981727      79.2346907823      -1.8096664496      74.1156307362      -1.8899899385     -66.6122452304      -1.8890375879     -61.4931851842      -1.8087140990     140.7278759666      -0.0009523506       1.8957962151       9.9709070638      -0.3206759830      -0.0005322822       0.0067537523      -0.0008464426      -0.7638233863       0.6245618647      -0.0000164000      52.0523597023     154.0498594060     261.3152658734
9                G37   58889.2991992593      10.5306154874      74.8124220421      20.3543426194       0.0219821627      -0.0297527756      -0.0031271187      23.7307557377      34.8693963707       4.6688060116      79.3029373481      60.7258609595       0.9836247037     115.0192144440     -68.8840370672      10.9843445795      80.4408660055      -2.2412658662      75.7693243999      -2.3377978268     -64.9585515666      -2.3368454762     -60.2870099611      -2.2403135156     140.7278759666      -0.0009523506       1.8227246500      10.8235377835      -0.4295701836      -0.0005928541       0.0064158324      -0.0008343007      -0.7638233863       0.6245618647      -0.0000164000      54.4521288288     155.3301711028     264.0000457226
